"Id","Url","ImageUrl","Name","Symbol","CoinName","FullName","Algorithm","ProofType","FullyPremined","TotalCoinSupply","PreMinedValue","TotalCoinsFreeFloat","SortOrder","Sponsored","IsTrading"
"4321","/coins/42/overview","/media/12318415/42.png","42","42","42 Coin","42 Coin (42)","Scrypt","PoW/PoS","0","42","N/A","N/A","34",false,true
"749869","/coins/300/overview","/media/27010595/300.png","300","300","300 token","300 token (300)","N/A","N/A","0","300","N/A","N/A","2212",false,true
"33639","/coins/365/overview","/media/352070/365.png","365","365","365Coin","365Coin (365)","X11","PoW/PoS","0","2300000000","N/A","N/A","916",false,true
"21227","/coins/404/overview","/media/351001/404.png","404","404","404Coin","404Coin (404)","Scrypt","PoW/PoS","0","532000000","N/A","N/A","602",false,true
"20909","/coins/611/overview","/media/350985/611.png","611","611","SixEleven","SixEleven (611)","SHA256","PoW","0","611000","N/A","N/A","586",false,true
"28223","/coins/808/overview","/media/351513/808.png","808","808","808","808 (808)","SHA256","PoW/PoS","0","N/A","N/A","N/A","750",false,true
"29462","/coins/888/overview","/media/351639/888.png","888","888","Octocoin","Octocoin (888)","N/A","PoW","0","135776563","N/A","N/A","811",false,true
"20824","/coins/1337/overview","/media/350976/1337.png","1337","1337","1337","1337 (1337)","X13","PoW/PoS","0","314159265359","N/A","N/A","577",false,true
"3744","/coins/2015/overview","/media/20180/2015.png","2015","2015","2015 coin","2015 coin (2015)","X11","PoW/PoS","0","0","N/A","N/A","33",false,true
"4432","/coins/doge/overview","/media/19684/doge.png","DOGE","DOGE","Dogecoin","Dogecoin (DOGE)","Scrypt","PoW","0","N/A","N/A","N/A","8",false,true
"24854","/coins/zec/overview","/media/351360/zec.png","ZEC","ZEC","ZCash","ZCash (ZEC)","Equihash","PoW","0","21000000","N/A","N/A","9",false,true
"5039","/coins/bts/overview","/media/20705/bts.png","BTS","BTS","Bitshares","Bitshares (BTS)","SHA-512","PoS","1","2511953117","N/A","N/A","10",false,true
"4430","/coins/dgb/overview","/media/12318264/7638-nty_400x400.jpg","DGB","DGB","DigiByte","DigiByte (DGB)","Multiple","PoW","0","21000000000","N/A","N/A","11",false,true
"4400","/coins/btcd/overview","/media/19630/btcd_1.png","BTCD","BTCD","BitcoinDark","BitcoinDark (BTCD)","SHA256","PoW/PoS","0","22000000","N/A","N/A","13",false,true
"2349","/coins/ppc/overview","/media/19864/peercoin-logo.png","PPC","PPC","PeerCoin","PeerCoin (PPC)","N/A","N/A","0","N/A","N/A","N/A","14",false,true
"4425","/coins/craig/overview","/media/20022/craig.png","CRAIG","CRAIG","CraigsCoin","CraigsCoin (CRAIG)","X11","PoS","0","30000000","N/A","N/A","15",false,true
"5023","/coins/xbs/overview","/media/351060/xbs_1.png","XBS","XBS","Bitstake","Bitstake (XBS)","X11","PoW/PoS","0","1300000","N/A","N/A","16",false,true
"5030","/coins/xpy/overview","/media/20076/xpy_1.png","XPY","XPY","PayCoin","PayCoin (XPY)","SHA256","PoS","0","12500000","N/A","N/A","17",false,true
"3638","/coins/prc/overview","/media/20393/prc.png","PRC","PRC","ProsperCoin","ProsperCoin (PRC)","Scrypt","PoW","0","21000000","N/A","N/A","18",false,true
"3639","/coins/ybc/overview","/media/19975/ybc.png","YBC","YBC","YbCoin","YbCoin (YBC)","Multiple","N/A","0","200000000","N/A","N/A","19",false,true
"3640","/coins/dank/overview","/media/20247/dank.png","DANK","DANK","DarkKush","DarkKush (DANK)","X13","PoW/PoS","0","3000000","N/A","N/A","20",false,true
"3641","/coins/give/overview","/media/20297/give.png","GIVE","GIVE","GiveCoin","GiveCoin (GIVE)","X11","PoW","0","500000000","N/A","N/A","21",false,true
