"exchange","coin"
"Cryptsy","42"
"Cryptsy","RDD"
"Cryptsy","PSEUD"
"Cryptsy","NRB"
"Cryptsy","GB"
"Cryptsy","ZED"
"Cryptsy","CNC"
"Cryptsy","BTB"
"Cryptsy","MINT"
"Cryptsy","ARG"
"Cryptsy","IOC"
"Cryptsy","NMB"
"Cryptsy","LTC"
"Cryptsy","XXX"
"Cryptsy","CASH"
"Cryptsy","QRK"
"Cryptsy","LSD"
"Cryptsy","FLO"
"Cryptsy","HUC"
"Cryptsy","AXR"
"Cryptsy","MAX"
"Cryptsy","GDC"
"Cryptsy","PPC"
"Cryptsy","LXC"
"Cryptsy","CAP"
"Cryptsy","OSC"
"Cryptsy","GLD"
"Cryptsy","XST"
"Cryptsy","SPEC"
"Cryptsy","GLYPH"
"Cryptsy","ETH"
"Cryptsy","RZR"
"Cryptsy","TRK"
"Cryptsy","EAC"
"Cryptsy","TIX"
"Cryptsy","SFR"
"Cryptsy","CKC"
"Cryptsy","CAD"
"Cryptsy","FLAP"
"Cryptsy","UNO"
"Cryptsy","HAM"
"Cryptsy","MOON"
"Cryptsy","XCASH"
"Cryptsy","TES"
"Cryptsy","XPY"
"Cryptsy","RED"
"Cryptsy","SPA"
"Cryptsy","XMR"
"Cryptsy","TIPS"
"Cryptsy","WDC"
"Cryptsy","RIPO"
"Cryptsy","AERO"
"Cryptsy","AUR"
"Cryptsy","YBC"
"Cryptsy","CLOAK"
"Cryptsy","PHS"
"Cryptsy","SSV"
"Cryptsy","HYP"
"Cryptsy","BCX"
"Cryptsy","CINNI"
"Cryptsy","SDC"
"Cryptsy","DGB"
"Cryptsy","VRC"
"Cryptsy","XRA"
"Cryptsy","NOBL"
"Cryptsy","MED"
"Cryptsy","VOOT"
"Cryptsy","CMC"
"Cryptsy","CON"
"Cryptsy","UTC"
"Cryptsy","SUPER"
"Cryptsy","SPT"
"Cryptsy","DOGED"
"Cryptsy","CRACK"
"Cryptsy","CACH"
"Cryptsy","PXC"
"Cryptsy","BTC"
"Cryptsy","AIDEN"
"Cryptsy","DBL"
"Cryptsy","NYAN"
"Cryptsy","LTCX"
"Cryptsy","SYNC"
"Cryptsy","SBC"
"Cryptsy","USDe"
"Cryptsy","DVC"
"Cryptsy","ARCH"
"Cryptsy","NBT"
"Cryptsy","CYP"
"Cryptsy","PTS*"
"Cryptsy","UNB"
"Cryptsy","JUDGE"
"Cryptsy","DASH"
"Cryptsy","ZRC*"
"Cryptsy","IFC"
"Cryptsy","STR*"
"Cryptsy","AMBER"
"Cryptsy","EXCL"
"Cryptsy","ZEIT"
"Cryptsy","SWIFT"
"Cryptsy","LKY"
"Cryptsy","MZC"
"Cryptsy","XBS"
"Cryptsy","KEY"
"Cryptsy","ZET"
"Cryptsy","COMM"
"Cryptsy","CBX"
"Cryptsy","NEC"
"Cryptsy","LGD"
"Cryptsy","EMC2"
"Cryptsy","BUK"
"Cryptsy","CAIX"
"Cryptsy","FIBRE"
"Cryptsy","NAV"
"Cryptsy","EFL"
"Cryptsy","PYC"
"Cryptsy","AC"
"Cryptsy","CLR"
"Cryptsy","JBS"
"Cryptsy","DT"
"Cryptsy","FC2"
"Cryptsy","EXE"
"Cryptsy","FST"
"Cryptsy","NXT"
"Cryptsy","SHLD"
"Cryptsy","HAL"
"Cryptsy","EMD"
"Cryptsy","XLB"
"Cryptsy","ARI"
"Cryptsy","AXIOM"
"Cryptsy","CLAM"
"Cryptsy","YAC"
"Cryptsy","XC"
"Cryptsy","MONA"
"Cryptsy","RT2"
"Cryptsy","GUE"
"Cryptsy","NAUT"
"Cryptsy","ANC"
"Cryptsy","SRC"
"Cryptsy","KARM"
"Cryptsy","SMC"
"Cryptsy","EXP"
"Cryptsy","XNC"
"Cryptsy","FRK"
"Cryptsy","EZC"
"Cryptsy","MNE"
"Cryptsy","BLU"
"Cryptsy","APEX"
"Cryptsy","COL"
"Cryptsy","CRYPT"
"Cryptsy","CRAIG"
"Cryptsy","ALN"
"Cryptsy","ORB"
"Cryptsy","FTC"
"Cryptsy","ICB"
"Cryptsy","TEK"
"Cryptsy","ASC"
"Cryptsy","DRKC"
"Cryptsy","ADT"
"Cryptsy","HBN"
"Cryptsy","URO"
"Cryptsy","FRC"
"Cryptsy","GLC"
"Cryptsy","MIN"
"Cryptsy","BNCR"
"Cryptsy","CTM"
"Cryptsy","NBL"
"Cryptsy","HTML5"
"Cryptsy","VDO"
"Cryptsy","DOGE"
"Cryptsy","LOT"
"Cryptsy","KDC"
"Cryptsy","TGC"
"Cryptsy","MEOW"
"Cryptsy","MTR"
"Cryptsy","CAIx"
"Cryptsy","TRC"
"Cryptsy","NMC"
"Cryptsy","NKT"
"Cryptsy","LEAF"
"Cryptsy","SLING"
"Cryptsy","CCN"
"Cryptsy","FFC"
"Cryptsy","VIA"
"Cryptsy","CRC***"
"Cryptsy","DMD"
"Cryptsy","XBOT"
"Cryptsy","OPAL"
"Cryptsy","SHADE"
"Cryptsy","NTRN"
"Cryptsy","AGS"
"Cryptsy","RBBT"
"Cryptsy","ALF"
"Cryptsy","ULTC"
"Cryptsy","FLEX"
"Cryptsy","NEOS"
"Cryptsy","DIME"
"Cryptsy","NVC"
"Cryptsy","MEC"
"Cryptsy","POT"
"Cryptsy","VTC"
"Cryptsy","POP"
"Cryptsy","NET"
"Cryptsy","XPM"
"Cryptsy","LK7"
